Code INSEE,Commune,Population municipale,Année
91573,SAINT-PIERRE-DU-PERRAY,10501,2015
77296,Moissy-Cramayel,17630,2015
91228,EVRY,53871,2015
91086,Bondoufle,9066,2015
91435,MORSANG-SUR-SEINE,547,2015
91553,Saint-Germain-lès-Corbeil,7462,2015
91521,RIS-ORANGIS,27797,2015
91225,Étiolles,3164,2015
77067,CESSON,10033,2015
91659,VILLABE,5360,2015
91174,CORBEIL-ESSONNES,50412,2015
91179,Le Coudray-Montceaux,4818,2015
